#date precip TMax Tmin
   
19510207 0.82 52 41
19510208 1.45 54 46
19510209 2.98 57 49
19510210 0.46 57 47
19510211 0.14 48 34
19510212 0.00 46 31
19510213 0.00 49 30
19510214 0.00 53 32
19510215 0.05 46 35
19510216 0.00 48 31
19510217 0.49 41 37
19510218 0.00 43 36
19510219 0.46 44 37
19510220 0.04 49 37
19510221 0.00 47 36
19510222 0.00 47 34
19510223 0.00 47 31
19510224 0.01 42 32
19510225 0.00 42 29
19510226 0.00 44 2
19510227 0.00 44 25
19510228 0.05 43 24
19510301 0.07 42 28
19510302 0.00 42 24
19510303 0.30 38 31
19510304 0.14 38 28
